hiep@hiep-Inspiron-3558:~$ ps aux
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
hiep      1463  0.0  0.2 376232  9128 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1468  0.0  0.2 298192  8656 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1472  0.0  0.6 952020 25160 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1493  0.0  0.3 510300 12556 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1517  0.0  1.1 762284 46524 tty2     Sl+  08:49   0:01 nautilus-deskto
hiep      1518  0.0  0.1 271932  6436 tty2     Sl+  08:49   0:00 /usr/lib/gnome-
hiep      1535  0.0  1.7 895836 67364 ?        Ssl  08:49   0:00 /usr/lib/evolut
hiep      1538  0.0  0.2 385552 10144 ?        Sl   08:49   0:00 /usr/lib/gvfs/g
hiep      1554  0.0  0.2 222468  8816 tty2     Sl   08:49   0:02 /usr/lib/ibus/i
hiep      1569  0.0  1.6 1144408 63764 ?       Sl   08:49   0:00 /usr/lib/evolut
hiep      1571  0.0  0.1 187900  5244 ?        Sl   08:49   0:00 /usr/lib/dconf/
hiep      1587  0.0  0.6 736504 25048 ?        Ssl  08:49   0:00 /usr/lib/evolut
hiep      1600  0.0  0.7 1025500 27896 ?       Sl   08:49   0:00 /usr/lib/evolut
hiep      1615  8.5 14.2 2745328 561876 tty2   Sl+  08:49   5:51 /usr/lib/firefo
hiep      1679  7.9  6.8 2246060 269852 tty2   Sl+  08:49   5:28 /usr/lib/firefo
hiep      1766  0.2  2.9 1537252 114840 tty2   Sl+  08:49   0:09 /usr/lib/firefo
hiep      1808  6.7  5.6 1897136 222496 tty2   Sl+  08:49   4:36 /usr/lib/firefo
root      1869  0.0  0.1  25660  6056 ?        S    08:50   0:00 /sbin/dhclient 
hiep      2005  0.0  2.9 1285756 117192 tty2   SLl+ 08:50   0:03 /usr/bin/gnome-
hiep      2008  0.0  0.6 602172 23780 tty2     Sl+  08:50   0:00 update-notifier
